Date,P_mm,Eta-cal_mm,Q_mm
12/22/12,12.42,1.917204652,0.481588525
12/23/12,0.2,1.253324223,0.614294256
12/24/12,1.67,1.011790273,0.410275785
12/25/12,4.87,1.982524621,0.388408791
12/26/12,14.17,2.348733041,2.267221609
12/27/12,0.43,1.490879213,2.019604214
12/28/12,0,1.060331257,0.771643937
12/29/12,0.24,1.315603879,0.601381211
12/30/12,5.28,1.723549836,0.621213443
12/31/12,3.26,0.925491988,1.041211532
1/1/13,0.71,0.758685404,0.764758931
1/2/13,5.6,0.876591749,0.939899655
1/3/13,25.68,1.027574134,9.250658981
1/4/13,8.97,0.969972845,8.730298674
1/5/13,7.31,1.200918211,4.96624801
1/6/13,0.96,1.767427158,4.356572118
1/7/13,1.08,1.484193428,2.527903183
1/8/13,0.43,1.040186478,1.727079414
1/9/13,2.46,0.5680376,1.570765983
1/10/13,1.83,0.643570092,1.501038409
1/11/13,0.73,1.057854022,1.319534634
1/12/13,1.07,1.890370229,0.947216104
1/13/13,2.94,2.141729541,0.993115269
1/14/13,0,1.146967921,0.595775841
1/15/13,0.2,0.582608795,0.467563442
1/16/13,1.57,1.354252678,0.416522325
1/17/13,6.76,1.523250158,0.548795992
1/18/13,0.22,1.113146602,0.571671077
1/19/13,0,1.048081299,0.325770077
1/20/13,0,1.02884309,0.246247038
1/21/13,0,0.659405091,0.205685703
1/22/13,2.44,0.803182072,0.182728977
1/23/13,5.79,1.492865362,0.255058459
1/24/13,19.26,1.826783664,3.732764422
1/25/13,5.75,2.341650424,1.634705283
1/26/13,0.17,2.049726003,1.300678196
1/27/13,0.48,1.476590858,0.818564563
1/28/13,6.54,0.57815122,1.339390723
1/29/13,0.8,0.977529965,1.184121974
1/30/13,0,1.161159643,0.874201662
1/31/13,0.89,0.970137695,0.768936988
2/1/13,1.53,1.477696716,0.71865191
